Prinzip,Anhang,Begründung,Betroffenheit,Erfolgskriterium,Fundort,Guideline,Konformitätsstufe,Status
Operable,,,"Cognitive, Physical/Motor, Visual",2.4.3 – Focus Order,,2.4 – Navigable,A,Erfüllt
Operable,,wenig Kontrast,"Cognitive, Physical/Motor, Visual",2.4.7 – Focus Visible,,2.4 – Navigable,AA,Erfüllt
Understandable,,,,3.3.9 – Accessible Authentication (Enhanced),,3.3 – Input Assistance,AAA,NA
Operable,,,,2.2.4 – Interruptions,,2.2 – Enough Time,AAA,NA
Understandable,,,Cognitive,3.2.1 – On Focus,,3.2 – Predictable,A,Erfüllt
Understandable,,,,3.3.5 – Help,"Ansprechperson finden, Kontaktformular, Meldeformular",3.3 – Input Assistance,AAA,Nicht Erfüllt
Operable,,,"Cognitive, Physical/Motor, Visual",2.1.2 – No Keyboard Trap,,2.1 – Keyboard Accessible,A,Erfüllt
Perceivable,,,,1.4.9 – Images of Text (No Exception),,1.4 – Distinguishable,AAA,Erfüllt
Robust,"Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Robust%203263-3768/image.png, Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Robust%203263-3768/image%201.png","Navigation: Icon verlinkung ohne zugänglichen Namen (keinen sichtbaren Text und auch kein aria-label)
<select> ohne Label

Auf allen Seiten außer Startseite Chevron-Icon besitzt keinen programmatisch bestimmbaren zugänglichen Namen und keine passendes Semantisches Element eher ein Anker ein <a>

Meldeformular: Beschriftung der Checkbox zur Kontaktaufnahme fehlerhaft zugeordnet, da das label nicht auf die tatsächliche id des Eingabefelds verweist

Kontaktformular: mehrfach verwendete IDs
<label for=""Kontaktaufnahme""> zeigt auf kein Form-Control
","Cognitive, Physical/Motor, Visual","4.1.2 – Name, Role, Value","Ansprechperson finden, Datenschutzhinweise, FAQs, Impressum, Kontaktformular, Meldeformular, Navigation",4.1 – Compatible,A,Nicht Erfüllt
Operable,,,"Cognitive, Physical/Motor, Visual",2.1.4 – Character Key Shortcuts,,2.1 – Keyboard Accessible,A,NA
Understandable,,,"Cognitive, Visual","3.3.4 – Error Prevention (Legal, Financial, Data)",,3.3 – Input Assistance,AA,NA
Perceivable,Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Perceivable%203263-6fdb/image.png,"Sartseite: Alt-Text für Bild an falscher stelle im code angegeben
Kein Alt-Text für Bedienelemente

Klickbaren Chevron-Icons auf allen Seiten außer Startseite entahleten keinen Text und keine sinnvollen Text Alternativen

FAQs: Zurück-Icon sowie die Plus- und Minus-Symbole besitzen keine Textalternativen
 
Ansprechperson:","Auditory/Hearing, Cognitive, Visual",1.1.1 – Non-text Content,"Ansprechperson finden, Datenschutzhinweise, FAQs, Impressum, Kontaktformular, Meldeformular, Navigation, Startseite",1.1 – Text Alternatives,A,Nicht Erfüllt
Operable,,,,2.4.8 – Location,"Datenschutzhinweise, Navigation",2.4 – Navigable,AAA,Nicht Erfüllt
